wind_speed_kmh,so2_ugm3,h2s_ugm3
9.01,476.0,126.0
9.01,500.0,128.0
8.52,534.0,135.0
8.52,571.0,141.0
8.52,573.0,135.0
8.52,531.0,116.0
10.47,539.0,128.0
10.47,552.0,128.0
9.01,471.0,112.0
9.98,492.0,114.0
11.92,518.0,121.0
11.92,537.0,131.0
11.44,571.0,141.0
10.95,602.0,142.0
10.95,584.0,135.0
11.44,542.0,124.0
11.44,400.0,92.0
9.5,374.0,92.0
10.95,607.0,155.0
13.35,707.0,172.0
13.35,767.0,170.0
13.35,746.0,161.0
10.47,631.0,142.0
10.95,573.0,133.0
11.44,534.0,119.0
11.44,529.0,121.0
0.0,172.0,36.0
0.0,293.0,85.0
0.0,377.0,102.0
0.0,419.0,112.0
0.0,453.0,119.0
0.0,484.0,126.0
0.0,516.0,131.0
0.0,529.0,112.0
0.0,471.0,89.0
0.0,353.0,77.0
0.0,275.0,67.0
0.0,238.0,57.0
0.0,212.0,53.0
0.0,186.0,47.0
0.0,162.0,43.0
0.0,138.0,37.0
0.0,123.0,33.0
0.0,112.0,33.0
0.0,110.0,30.0
0.0,112.0,33.0
0.0,112.0,33.0
0.0,107.0,33.0
0.0,102.0,33.0
0.0,99.0,33.0
0.0,99.0,33.0
0.0,110.0,33.0
0.0,125.0,36.0
0.0,133.0,37.0
0.0,151.0,40.0
0.0,186.0,46.0
0.0,248.0,67.0
0.0,361.0,92.0
0.0,468.0,112.0
0.0,558.0,133.0
0.0,605.0,151.0
0.0,620.0,158.0
0.0,615.0,155.0
0.0,592.0,145.0
0.0,544.0,126.0
0.0,445.0,106.0
0.0,348.0,65.0
0.0,251.0,56.0
0.0,186.0,50.0
0.0,154.0,46.0
0.0,141.0,43.0
0.0,193.0,53.0
0.0,269.0,67.0
0.0,309.0,77.0
0.0,324.0,82.0
6.06,330.0,85.0
6.06,335.0,89.0
5.56,340.0,89.0
5.56,343.0,77.0
5.56,285.0,60.0
5.56,201.0,50.0
0.0,170.0,50.0
0.0,183.0,56.0
0.0,214.0,63.0
0.0,243.0,67.0
5.56,264.0,72.0
5.56,296.0,85.0
0.0,337.0,92.0
0.0,366.0,95.0
0.0,387.0,95.0
0.0,442.0,96.0
0.0,531.0,135.0
0.0,586.0,151.0
0.0,610.0,151.0
0.0,607.0,151.0
0.0,618.0,151.0
0.0,652.0,161.0
0.0,665.0,148.0
0.0,610.0,128.0
0.0,495.0,114.0
0.0,411.0,106.0
0.0,366.0,92.0
0.0,335.0,79.0
0.0,282.0,67.0
0.0,220.0,57.0
0.0,162.0,50.0
0.0,128.0,43.0
0.0,115.0,40.0
0.0,110.0,40.0
